Proj_No,Name,Group,Marker Icon,Marker Color,Icon Color,Custom Size,Image,Description,Location,Latitude,Longitude,Found,Quality,Source,Popup Narrative,More_URL,STATUS,DOTD_no,ProjectName,Project Type,Topographical Survey,SUE,Geotechnical,Preliminary Design,Final Design,ROW Maps,ROW Parcels Acquisition,Utility Relocations,Advertized for Letting,Current Stage,Comments,Project Length,Designer,Design Cost,Design Completed,Contractor,Estimated Construction Cost,Construction Start Date,Expected Duration,Construction Complete
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.23304534,-90.90881126,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.23645844,-90.91194553,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.24007285,-90.91522874,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.24631744,-90.92084915,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.24974822,-90.92397293,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.25706898,-90.93060621,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.26211823,-90.93519188,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.26945947,-90.94179246,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.28396809,-90.95495036,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.29843201,-90.96803512,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.30308694,-90.97228175,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.30414421,-90.97322509,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.31669351,-90.97724585,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.3204669,-90.97828255,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.32364593,-90.97988887,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.33043978,-90.98388307,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.33292686,-90.98533525,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-14,Signalization: LA 3089 @ LA Hwy 1,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/projects/ma-17-14/ma-17-14-tn.jpg,"This task order is a planning effort to faciliate better traffic flow along LA1/LA 3089 in and around the Donaldsonville area. This study has been completed and implemented by the LA DOTD. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-14/"" target=""_blank"">More...</a></div>",,30.10110951,-90.9941564,,,shapefile,This task order is a planning effort to faciliate better traffic flow along LA1/LA 3089 in and around the Donaldsonville area. This study has been completed and implemented by the LA DOTD.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-14/"" target=""_blank"">More...</a></div>",Completed,,LA 1 / LA 3089 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Operation,100% Complete,,Neel Schaffer,"$63,500",6/10/2018,DOTD,,N/A,,
MA-18-02,Roundabout: PR 929 @ Braud Road,Roundabouts,flip_camera_android,black,white,,https://moveascension.firebaseapp.com/img/projects/ma-18-02/ma-18-02-tn.jpg,"Converting a 4-way stop-controlled intersection at Parish Road 929 and Braud Road to one with a Roundabout to improve traffic flow through the intersection. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-18-02/"" target=""_blank"">More...</a></div>",,30.29871366,-90.93873927,,,shapefile,Converting a 4-way stop-controlled intersection at Parish Road 929 and Braud Road to one with a Roundabout to improve traffic flow through the intersection.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-18-02/"" target=""_blank"">More...</a></div>",Pre-Construction : Negotiation,,PR 929 @ Braud Rd Roundabout,Roundabout,100%,100%,100%,100%,95%,90%,0/6,0/6,,Final Design,,,BKI,"$485,050",1/24/2019,,,,,
MA-18-03b,Turn Lanes: LA 73 at Oakland Dr.,Turn Lanes,directions,#BA68C8,white,,https://moveascension.firebaseapp.com/img/projects/ma-18-03/aerial_old-jefferson-at-oakland-dr-tn.jpg,"Adding turn lanes on Hwy. 73 Southbound at Oakland Drive as well as turn lanes onto LA 73 from Oakland. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-18-03b/"" target=""_blank"">More...</a></div>",,30.34261,-90.982585,,,shapefile,Adding turn lanes on Hwy. 73 Southbound at Oakland Drive as well as turn lanes onto LA 73 from Oakland.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-18-03b/"" target=""_blank"">More...</a></div>",Completed,,LA 73 Turn Lanes @ Oakland Dr.,Turn Lanes,100%,100%,100%,100%,100%,100%,2/2,5/5,Nov 2019,Operation,"Project ""B""",,Neel Schaffer,"$165,536",1/3/2019,"Boone Services, LLC","$648,423",,,
MA-18-03a,Turn Lanes: LA 73 at Brown Rd.,Turn Lanes,directions,#BA68C8,white,,https://moveascension.firebaseapp.com/img/projects/ma-18-03/aerial_old-jefferson-at-brown-rd-tn.jpg,"Adding turn lanes on Hwy. 73 Southbound at Brown Road as well as turn lanes onto LA 73 from Brown. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-18-03a/"" target=""_blank"">More...</a></div>",,30.328895,-90.979527,,,shapefile,Adding turn lanes on Hwy. 73 Southbound at Brown Road as well as turn lanes onto LA 73 from Brown.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-18-03a/"" target=""_blank"">More...</a></div>",Completed,,LA 73 Turn Lanes @ Brown Rd.,Turn Lanes,100%,100%,100%,100%,100%,100%,5/5,5/5,Nov 2019,Operation,"Project ""A""",,Neel Schaffer,"$165,536",1/2/2019,"Command Construction Industries, LLC","$734,918",,,
MA-18-04,Turn Lane: LA 73 @ Henry Road,Turn Lanes,directions,#BA68C8,white,,https://moveascension.firebaseapp.com/img/projects/ma-18-04/ma-18-04-tn.jpg,"Improving the Henry Road intersection leg at US 61 to include left, thru and right turn lanes. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-18-04/"" target=""_blank"">More...</a></div>",,30.30540311,-90.97266736,,,shapefile,"Improving the Henry Road intersection leg at US 61 to include left, thru and right turn lanes.","<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-18-04/"" target=""_blank"">More...</a></div>",Completed,,LA 73 Turn Lanes (Henry Rd),Turn Lanes,100%,100%,100%,100%,100%,100%,1/1,5/5,Nov 2019,Operation,,,GSA Consulting,"$187,260",11/8/2018,Kort Construction Services,"$874,146",,,12/2020
MA-18-05,Turn Lane: Germany Road @ US 61,Turn Lanes,directions,#BA68C8,white,,https://moveascension.firebaseapp.com/img/projects/ma-18-05/ma-18-05-tn.jpg,"Improving the Germany Road intersection leg at US 61 to include left, thru and right turn lanes. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-18-05/"" target=""_blank"">More...</a></div>",,30.28396617,-90.95449958,,,shapefile,"Improving the Germany Road intersection leg at US 61 to include left, thru and right turn lanes.","<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-18-05/"" target=""_blank"">More...</a></div>",Pre-Construction : Ongoing,,US 61 & Germany Rd Intersection Impr.,Turn Lanes,100%,100%,100%,100%,95%,100%,8/8,1/5,,Final Design,Project tied to DOTD traffic signal reviews/approvals,,Evans-Graves,"$174,260",12/31/2018,,,,,
